ticker,Company Name,Industry,sector,industry_group,is_fo_stock,fo_category,Include,stage,stage_raw,stage_variant,stage_confidence,stage_reason,stage_state_reason,stage_failed_since,last_stage2_date,rs_3m_pct,rs_6m_pct,avg_turnover_inr,volume_dryup_ratio,breakout_volume_ratio,weekly_volume_ratio,volume_is_drying_up,weekly_volume_is_drying_up,notes,daily_setup_bucket,daily_score,final_daily_score,daily_pivot,daily_breakout_distance_pct,daily_contraction_depths_pct,daily_contraction_durations,daily_contraction_score,daily_base_duration_days,current_rank
JSWSTEEL.NS,JSW Steel Limited,Steel,Basic Materials,Basic Materials,True,F&O,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-06-10,12.39,26.78,2335071102.33,0.87,1.14,0.96,False,False,"Stage 2, Clean Stage 2, trend_template_ok, daily_vcp_ok",near_pivot,66.51,69.01,1328.0,-3.44,"[14.18, 4.67]","[17, 5]",0.9,44.0,1
APARINDS.NS,Apar Industries Limited,Electrical Equipment & Parts,Industrials,Industrials,False,Cash,1,Stage 2,Stage 2,Extended Stage 2,0.78,"Advancing structure remains intact, but price is stretched versus key moving averages or far above the 52-week low.",,,2026-06-10,60.74,76.7,1850511423.7,1.47,3.78,1.56,False,False,"Stage 2, Extended Stage 2, trend_template_ok",watchlist,63.95,68.95,13603.76,6.96,"[25.47, 9.63]","[26, 27]",0.9,62.0,2
AVALON.NS,Avalon Technologies Limited,Electronic Components,Technology,Technology,False,Cash,1,Stage 2,Stage 2,Extended Stage 2,0.78,"Advancing structure remains intact, but price is stretched versus key moving averages or far above the 52-week low.",,,2026-06-10,69.92,85.13,994413959.73,0.73,0.69,0.8,True,True,"Stage 2, Extended Stage 2, trend_template_ok, volume_dryup, weekly_volume_dryup",watchlist,60.64,65.64,1430.3,9.64,"[24.04, 11.48]","[25, 10]",0.9,54.0,3
GRANULES.NS,Granules India Limited,Drug Manufacturers - Specialty & Generic,Healthcare,Healthcare,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-06-10,33.79,51.33,994286880.49,0.58,0.67,0.64,True,True,"Stage 2, Clean Stage 2, trend_template_ok, daily_vcp_ok, volume_dryup, weekly_volume_dryup",forming_vcp,59.45,64.45,805.71,-5.28,"[14.87, 6.78]","[18, 7]",0.9,34.0,4
CUMMINSIND.NS,Cummins India Limited,Specialty Industrial Machinery,Industrials,Industrials,True,F&O,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-06-10,23.61,35.66,2975525157.43,1.1,0.52,0.69,False,True,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_volume_dryup, weekly_strong",watchlist,59.13,64.13,6110.68,-9.06,"[15.86, 11.89]","[30, 15]",0.9,68.0,5
ADANIGREEN.NS,Adani Green Energy Limited,Utilities - Renewable,Utilities,Utilities,True,F&O,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-06-10,74.79,56.64,6238727431.7,0.82,0.56,1.01,True,False,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_strong",watchlist,58.65,63.65,1535.18,-5.26,"[26.79, 19.11]","[16, 12]",0.9,45.0,6
KRISHANA.NS,Krishana Phoschem Limited,Agricultural Inputs,Basic Materials,Basic Materials,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-06-10,38.05,50.81,161201440.18,0.58,0.44,0.48,True,True,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",watchlist,63.47,63.47,718.5,-7.22,"[17.22, 14.43, 8.64]","[14, 10, 11]",0.95,59.0,7
MAYURUNIQ.NS,Mayur Uniquoters Ltd,Textile Manufacturing,Consumer Cyclical,Consumer Cyclical,False,Cash,1,Stage 2,Stage 2,Extended Stage 2,0.78,"Advancing structure remains intact, but price is stretched versus key moving averages or far above the 52-week low.",,,2026-06-10,55.73,69.67,468586949.5,1.17,0.57,2.12,False,False,"Stage 2, Extended Stage 2, trend_template_ok",watchlist,58.33,63.33,807.16,-1.74,"[19.67, 8.07]","[28, 6]",0.9,57.0,8
MAHABANK.NS,Bank of Maharashtra,Banks - Regional,Financial Services,Financial Services,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-06-10,29.42,61.18,995818983.53,0.75,0.91,1.03,True,False,"Stage 2, Clean Stage 2, trend_template_ok, daily_vcp_ok, volume_dryup",forming_vcp,62.26,63.26,84.76,-1.98,"[20.74, 7.24, 6.45]","[19, 18, 5]",0.95,61.0,9
RRKABEL.NS,R R Kabel Limited,Electrical Equipment & Parts,Industrials,Industrials,False,Cash,1,Stage 2,Stage 2,Extended Stage 2,0.78,"Advancing structure remains intact, but price is stretched versus key moving averages or far above the 52-week low.",,,2026-06-10,52.99,64.7,1322559547.79,1.17,0.68,0.71,False,True,"Stage 2, Extended Stage 2, trend_template_ok, weekly_volume_dryup",watchlist,58.2,63.2,2052.59,3.68,"[17.26, 14.52]","[15, 35]",0.9,56.0,10
DIACABS.NS,Diamond Power Infrastructure Limited,Specialty Industrial Machinery,Industrials,Industrials,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-06-10,44.7,47.72,1326609060.4,0.97,0.38,1.09,False,False,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",watchlist,57.87,62.87,211.57,-8.43,"[20.71, 19.79]","[17, 16]",0.9,51.0,11
VIYASH.NS,Viyash Scientific Limited,Drug Manufacturers - Specialty & Generic,Healthcare,Healthcare,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-06-10,31.19,33.48,932987395.04,1.55,0.52,1.31,False,False,"Stage 2, Clean Stage 2, trend_template_ok",watchlist,57.83,62.83,277.84,-10.31,"[21.94, 7.67]","[26, 8]",0.9,53.0,12
EMCURE.NS,Emcure Pharmaceuticals Limited,Drug Manufacturers - Specialty & Generic,Healthcare,Healthcare,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-06-10,11.5,29.93,246542444.84,0.73,0.85,0.96,True,False,"Stage 2, Clean Stage 2, trend_template_ok, daily_vcp_ok, volume_dryup",forming_vcp,57.7,62.7,1833.2,-8.18,"[11.77, 5.58]","[14, 26]",0.9,45.0,13
RBLBANK.NS,RBL Bank Limited,Banks - Regional,Financial Services,Financial Services,True,F&O,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-06-10,24.23,29.12,1409398608.18,0.86,1.54,0.9,False,True,"Stage 2, Clean Stage 2, trend_template_ok, weekly_volume_dryup",watchlist,61.53,62.53,353.0,1.73,"[15.57, 8.99]","[21, 9]",0.9,59.0,14
ELGIEQUIP.NS,Elgi Equipments Limited,Specialty Industrial Machinery,Industrials,Industrials,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-06-10,22.04,31.47,495721470.89,2.11,0.38,0.52,False,True,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_volume_dryup, weekly_strong",watchlist,57.43,62.43,634.96,-6.54,"[17.65, 11.61]","[19, 13]",0.9,55.0,15
SANDHAR.NS,Sandhar Technologies Limited,Auto Parts,Consumer Cyclical,Consumer Cyclical,False,Cash,1,Stage 2,Stage 2,Extended Stage 2,0.78,"Advancing structure remains intact, but price is stretched versus key moving averages or far above the 52-week low.",,,2026-06-10,48.85,42.15,923250919.4,1.12,0.82,0.89,False,True,"Stage 2, Extended Stage 2, trend_template_ok, weekly_volume_dryup",watchlist,61.0,62.0,745.05,-1.4,"[20.8, 18.08, 17.44, 4.98]","[14, 7, 12, 20]",1.0,89.0,16
RPTECH.NS,Rashi Peripherals Limited,Technology,Technology,Technology,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-06-10,55.6,73.46,119201366.0,0.95,0.41,0.8,False,True,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_volume_dryup, weekly_strong",watchlist,56.98,61.98,576.01,-7.79,"[21.7, 20.7]","[15, 22]",0.9,42.0,17
THYROCARE.NS,Thyrocare Technologies Limited,Diagnostics & Research,Healthcare,Healthcare,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-06-10,43.93,31.75,231031563.57,0.97,0.32,1.39,False,False,"Stage 2, Clean Stage 2, trend_template_ok",watchlist,56.84,61.84,526.92,-1.43,"[22.21, 19.41]","[11, 22]",0.9,43.0,18
LAURUSLABS.NS,Laurus Labs Limited,Drug Manufacturers - Specialty & Generic,Healthcare,Healthcare,True,F&O,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-06-10,37.34,47.33,2425468431.0,0.95,0.69,0.87,False,True,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_volume_dryup, weekly_strong",watchlist,56.73,61.73,1145.71,21.39,"[15.16, 5.66]","[14, 8]",0.9,40.0,19
